y,m,d,Ta,Rs_in,Rl_in,Da,Pa,Prec,u_Zm,Ca,Albedo,emiss,LAI,Hc
2011,6,6,7.968,96.057,290.847,3.262,99.718,0.08,1.588,390.8066667,0.1245,0.984,1.3,28
2011,6,7,7.534,51.324,300.301,2.845,99.512,2.116,3.132,390.742,0.124375,0.984,1.3,28
2011,6,8,7.557,79.382,295.187,2.91,99.831,0.112,4.057,390.6773333,0.12425,0.984,1.3,28
2011,6,9,9.608,73.842,309.191,3.104,99.973,0.206,3.526,390.6126667,0.124125,0.984,1.3,28
2011,6,10,10.268,73.843,315.979,2.739,100.27,0,2.755,390.548,0.124,0.984,1.3,28
2011,6,11,10.209,97.164,305.338,2.901,100.776,0,2.311,390.4833333,0.124,0.984,1.3,28
2011,6,12,10.408,102.35,304.756,2.906,100.808,0,2.328,390.4186667,0.124,0.984,1.3,28
2011,6,13,9.953,100.996,297.508,2.657,100.639,0,1.894,390.354,0.124,0.984,1.3,28
2011,6,14,9.969,104.457,289.443,2.555,100.56,0,2.158,390.2893333,0.124,0.984,1.3,28
2011,6,15,8.956,114.187,271.949,2.827,100.595,0,0.954,390.2246667,0.124,0.984,1.3,28
2011,6,16,8.85,93.392,289.884,2.546,99.849,0,2.185,390.16,0.124,0.984,1.3,28
2011,6,17,9.835,73.792,313.428,3.235,99.036,0.976,3.383,390.0953333,0.124,0.984,1.3,28
2011,6,18,11.039,60.073,324.219,2.814,99.363,0.244,2.647,390.0306667,0.124,0.984,1.3,28
2011,6,19,12.025,57.921,341.318,3.194,99.225,0.727,2.898,389.966,0.124,0.984,1.3,28
2011,6,20,13.154,89.773,318.827,5.132,98.648,0.124,4.369,389.9013333,0.124,0.984,1.3,28
2011,6,21,9.529,86.265,307.484,3.734,98.136,8.975,4.671,389.8366667,0.124,0.984,1.3,28
2011,6,22,9.923,45.211,334.532,2.575,99.06,1.174,3.7,389.772,0.124,0.984,1.3,28
2011,6,23,11.574,56.377,341.865,2.388,99.843,0.747,2.582,389.7073333,0.124,0.984,1.3,28
